1000 10000
210 241 10
110 41 29
928 34 92
502 956 73
704 927 3
758 398 6
684 193 97
333 558 50
66 778 69
185 29 35
727 591 28
788 54 69
517 982 3
260 484 59
532 188 86
234 299 36
891 335 30
287 21 40
937 87 19
357 272 48
843 999 91
570 788 45
338 657 28
140 917 64
250 449 5
287 35 56
74 926 91
55 565 12
595 854 100
913 211 24
612 54 24
902 976 64
247 314 21
926 806 90
89 56 91
145 695 78
852 770 4
543 177 21
606 772 76
757 37 87
181 649 94
604 904 70
519 151 85
91 77 91
580 518 100
222 16 95
899 868 17
502 411 95
374 370 19
749 127 57
336 308 6
681 264 10
650 783 13
286 226 42
729 806 13
228 28 29
774 279 97
443 133 61
289 508 31
907 257 58
563 945 67
221 626 83
782 277 67
495 563 93
988 292 52
0 872 32
28 999 64
925 442 97
585 83 5
967 990 63
124 906 8
942 127 35
25 261 64
891 108 79
335 97 24
938 97 96
922 478 47
185 755 41
581 692 24
838 659 15
0 783 73
459 726 100
545 751 61
260 994 70
539 681 19
462 972 68
609 894 46
756 431 1
48 364 93
72 202 52
438 554 88
710 14 66
461 911 17
473 172 63
242 711 96
812 525 68
480 134 14
977 242 97
230 291 62
822 715 64
426 505 71
165 215 85
630 676 96
198 149 20
760 744 83
707 908 8
275 388 95
440 366 89
37 596 32
350 770 47
865 548 52
935 713 19
19 695 47
367 893 97
238 5 93
821 713 1
928 340 42
874 780 60
63 169 8
246 519 78
145 385 79
548 320 44
167 692 40
813 411 85
961 649 91
205 470 56
6 751 96
547 625 28
158 40 98
365 287 69
342 784 6
572 332 27
516 851 71
507 665 82
391 978 83
281 184 54
588 542 57
883 441 34
663 599 75
612 964 14
80 658 98
286 231 82
164 99 34
86 606 51
67 997 29
401 631 65
854 219 59
410 455 52
944 118 51
870 730 67
435 162 78
784 800 61
465 964 60
998 402 18
900 469 15
781 223 98
845 77 70
156 840 25
907 136 95
610 358 77
628 793 39
305 577 40
565 394 56
276 745 59
593 645 80
260 426 3
909 624 33
778 780 25
454 39 61
600 649 19
476 278 64
867 583 93
58 501 87
565 129 32
123 75 30
855 687 56
809 948 32
841 79 12
65 533 52
777 486 53
847 314 31
710 181 67
502 591 20
41 157 1
324 632 76
253 839 15
961 649 64
292 842 43
756 260 28
259 37 14
411 885 81
194 947 14
560 802 6
131 843 15
831 519 99
959 773 39
773 86 40
888 730 82
82 486 42
810 97 32
375 509 69
255 703 16
21 615 18
26 746 13
892 929 33
390 888 58
728 14 96
419 254 26
601 337 65
394 499 62
225 226 71
645 834 26
661 855 41
830 233 39
195 125 69
79 515 9
736 596 75
183 367 82
8 968 19
24 715 70
786 292 96
408 938 30
734 951 85
26 133 18
65 328 95
385 407 63
945 495 11
872 678 78
53 39 47
923 63 14
292 201 6
239 610 44
669 344 47
305 722 81
823 139 61
169 876 69
31 822 16
841 46 47
19 451 38
517 726 1
730 18 55
587 257 65
31 278 61
129 584 83
9 759 23
570 928 51
890 960 25
57 153 71
903 172 74
492 41 100
145 771 18
999 359 28
463 742 6
975 223 42
857 233 1
231 155 30
482 397 42
906 806 95
729 62 20
2 554 61
2 699 85
371 698 44
998 513 38
256 488 61
449 698 46
50 281 53
931 763 2
772 22 9
766 751 71
285 105 77
198 107 77
882 479 27
925 829 41
414 437 81
126 887 79
72 289 61
876 220 76
78 344 98
86 462 1
508 100 7
484 298 66
512 180 97
239 105 79
831 871 68
911 997 7
690 421 96
102 298 68
277 728 12
827 166 75
479 674 27
237 510 25
103 23 5
799 262 62
29 93 33
697 356 82
603 398 4
799 500 54
918 130 82
382 957 48
308 788 74
334 26 84
658 129 59
162 280 21
123 310 66
307 7 75
488 962 73
443 113 74
696 32 56
29 414 65
528 722 53
701 56 79
737 714 60
795 228 41
468 351 3
585 658 62
59 146 24
932 590 38
657 638 70
512 20 36
676 548 58
628 602 66
959 691 32
418 486 60
510 306 11
912 892 21
25 951 67
749 235 9
938 892 100
159 756 20
794 432 20
503 413 74
620 724 65
451 142 4
510 653 62
920 917 54
340 943 58
258 44 45
119 982 38
970 493 46
841 287 31
612 142 96
986 762 20
402 213 14
657 723 19
219 995 37
24 687 32
781 297 76
478 768 10
67 738 3
412 931 42
542 544 84
437 530 98
56 284 63
170 942 38
288 161 33
676 185 72
7 319 21
734 797 42
443 864 32
997 276 64
838 171 8
173 608 90
622 17 74
284 539 16
21 179 29
105 856 15
228 215 86
649 950 83
190 745 99
821 743 27
736 933 98
843 107 59
184 729 76
458 366 15
25 387 94
754 493 2
20 721 18
605 722 20
339 264 65
289 86 60
515 822 94
265 18 53
623 202 34
998 12 100
912 38 40
357 144 33
659 164 6
528 121 29
347 812 93
263 101 31
923 968 6
868 233 76
272 856 78
757 854 43
609 118 81
848 828 25
932 839 41
737 367 14
617 66 26
762 329 79
344 604 47
101 824 81
876 96 89
395 548 16
865 280 64
693 156 48
532 196 37
251 61 55
317 386 69
647 164 13
603 262 15
428 242 43
876 431 49
82 826 49
897 691 29
912 737 37
859 621 85
896 873 46
902 542 84
670 541 48
134 145 11
700 573 5
143 449 88
143 884 66
44 781 10
224 694 99
561 905 20
445 801 45
391 55 88
74 77 29
274 564 74
736 264 99
792 759 1
632 255 85
297 299 18
358 523 12
156 436 70
576 882 23
220 625 79
407 51 8
488 677 72
361 413 89
512 558 100
464 190 55
948 839 6
565 198 30
229 354 18
150 282 100
872 503 77
2 262 29
210 750 58
981 464 72
721 328 82
221 792 72
975 92 11
733 9 61
662 590 16
731 740 98
331 613 53
259 615 68
239 825 70
897 159 86
320 232 14
301 453 58
472 781 50
834 514 60
395 528 50
662 259 91
211 942 56
264 202 71
283 793 49
52 690 60
990 10 92
903 311 98
313 135 31
462 322 97
973 717 25
723 731 36
565 942 31
20 558 85
442 841 78
42 246 69
801 236 79
145 491 43
294 804 30
224 619 52
20 592 21
696 667 52
983 232 95
213 604 53
997 47 47
575 441 93
195 595 81
825 92 24
767 386 81
197 962 100
300 334 92
121 382 60
672 365 44
518 579 49
923 576 48
169 503 41
13 698 36
445 524 28
368 643 66
448 840 28
499 493 14
791 614 96
102 638 62
997 157 93
497 80 21
44 601 25
737 614 75
672 411 99
52 779 43
817 580 35
897 79 28
310 222 94
106 676 33
619 674 90
711 171 22
731 568 23
607 305 89
182 977 100
632 29 31
374 199 11
661 96 43
440 406 65
834 864 42
866 483 16
407 546 39
28 630 7
250 237 64
790 771 42
741 404 23
471 778 22
782 791 70
876 232 77
840 418 41
833 284 77
500 691 23
339 71 5
97 321 43
161 463 66
554 204 70
328 675 1
302 809 92
371 685 76
847 878 94
540 711 30
716 212 73
790 903 44
847 0 17
789 513 80
206 67 36
676 396 12
276 698 73
19 421 11
995 269 41
740 161 52
122 229 16
194 371 71
338 218 24
154 7 37
786 566 57
621 242 53
484 518 3
157 889 24
219 236 45
159 977 58
162 451 87
730 645 59
200 983 77
23 490 37
712 276 3
468 897 45
972 734 15
174 891 4
149 462 93
746 621 22
503 135 73
842 865 18
200 66 54
128 441 44
64 505 72
566 973 21
662 945 55
628 471 98
484 973 60
576 719 33
997 574 69
221 416 34
738 968 52
943 97 46
286 161 51
609 80 77
830 94 22
784 723 46
982 559 19
993 135 90
626 484 64
746 57 33
731 795 1
783 739 98
980 377 60
330 987 92
358 817 86
980 953 61
777 935 20
547 281 7
36 907 43
451 5 100
283 736 48
436 519 39
333 851 16
744 182 55
587 892 72
173 224 78
185 1 65
405 548 46
463 936 5
6 388 10
957 23 47
704 811 18
542 145 70
110 241 4
664 829 96
388 354 21
65 539 22
29 944 23
275 760 59
779 766 99
641 723 75
887 780 86
4 674 83
973 784 25
476 449 54
224 189 8
844 254 99
817 635 44
339 910 4
150 42 22
700 683 97
274 922 29
660 926 4
542 252 88
18 728 89
323 952 78
982 148 84
181 966 20
676 657 82
931 807 24
952 508 59
400 134 81
629 146 60
532 689 12
571 59 92
412 383 97
89 365 45
373 546 63
644 574 21
825 505 80
401 809 40
11 210 75
544 191 73
3 75 62
66 646 74
857 410 57
305 500 74
550 225 73
464 221 47
36 46 53
416 799 62
7 811 72
733 355 63
606 710 90
519 776 37
492 985 47
200 291 99
274 193 76
246 657 97
792 46 96
196 814 95
58 821 6
481 907 13
96 513 23
785 384 51
473 229 37
572 429 28
170 55 73
698 653 30
827 241 43
641 836 53
463 593 35
370 58 31
235 232 16
971 183 42
200 471 14
982 50 36
37 822 34
691 603 81
489 431 74
483 72 62
888 887 8
422 609 66
404 844 98
819 168 33
412 368 56
225 702 6
561 740 28
946 783 84
778 624 15
852 459 39
113 347 27
320 769 36
937 173 33
787 345 1
171 109 21
27 335 24
932 896 16
12 842 99
695 621 75
161 825 34
699 938 82
125 611 3
513 900 29
745 687 26
497 211 35
617 238 70
792 170 18
707 534 13
757 229 86
431 390 11
565 442 1
398 919 64
0 432 65
480 529 4
305 378 15
592 996 53
861 140 76
731 848 10
443 605 92
128 37 34
990 954 28
790 352 48
906 704 32
570 185 62
625 842 92
892 434 40
396 648 81
423 731 29
633 174 34
776 654 23
661 996 77
989 138 81
236 44 86
619 966 23
532 592 17
824 836 52
463 232 52
243 656 83
223 641 9
457 417 15
431 430 63
360 419 1
640 7 98
977 627 64
499 159 8
216 983 44
719 447 77
222 42 85
456 266 26
216 75 95
982 858 25
744 218 97
996 859 4
293 836 83
557 688 43
764 256 78
160 327 77
436 901 20
72 357 38
997 925 65
691 907 23
167 3 42
63 999 53
967 293 89
849 202 29
243 318 37
621 478 64
797 266 17
368 338 26
205 335 51
469 378 10
944 546 13
285 609 65
837 928 58
577 130 60
358 373 30
394 346 9
110 144 75
726 864 66
52 422 1
302 243 32
812 187 78
676 472 39
540 661 68
49 239 50
760 597 23
790 343 70
298 453 66
424 180 30
889 584 4
42 238 48
573 402 87
2 79 60
392 971 73
711 21 12
160 781 61
983 571 5
504 221 10
521 646 90
402 887 26
706 929 65
253 854 67
339 208 98
250 601 70
823 312 43
986 473 24
99 808 48
203 664 21
112 185 19
554 587 7
931 293 88
195 898 43
214 590 3
663 192 4
84 367 69
526 354 42
102 805 2
601 8 66
321 472 51
40 378 38
998 310 84
885 857 82
979 423 24
282 87 17
537 171 84
105 50 90
146 504 95
699 105 55
564 778 80
966 170 10
956 168 20
239 54 30
772 385 5
896 19 92
212 557 16
247 662 18
637 161 22
183 860 79
90 425 57
469 743 28
578 699 96
350 938 2
979 63 88
383 959 7
227 523 16
594 122 79
11 111 40
284 295 100
662 385 77
818 206 21
145 784 72
993 134 63
246 465 26
885 201 37
544 780 12
759 374 34
637 737 46
676 21 93
928 683 30
956 853 36
728 351 72
200 696 59
962 942 24
139 828 77
627 372 57
638 131 31
123 769 20
720 797 41
612 77 76
593 34 82
780 762 85
752 962 81
210 276 23
485 767 51
962 394 23
218 32 7
201 508 28
920 228 25
13 193 3
140 786 37
473 567 99
157 671 14
537 881 42
860 718 10
362 680 4
885 251 89
243 452 49
370 724 77
294 89 70
648 230 9
36 703 28
187 861 99
300 750 32
393 610 50
902 973 83
158 210 34
798 453 38
946 823 14
322 469 4
244 470 86
952 506 41
579 693 54
229 345 5
760 739 15
361 993 40
995 151 50
528 949 55
217 895 78
631 570 100
486 814 70
571 766 28
711 697 22
417 926 19
521 38 10
587 751 4
627 747 55
876 627 57
931 197 4
160 828 74
211 314 88
732 237 6
760 300 55
833 717 33
251 238 71
761 178 75
616 805 22
622 33 1
578 964 98
782 477 78
555 688 92
495 421 81
552 533 82
307 366 51
339 969 42
762 82 20
936 698 25
209 321 58
109 899 75
559 33 4
836 941 44
780 436 17
960 340 50
793 647 68
696 339 38
837 101 20
508 389 71
984 598 92
141 59 43
967 618 77
622 807 18
966 587 6
82 899 46
84 45 46
451 741 85
788 930 38
560 438 27
30 422 77
173 915 88
215 235 59
643 857 66
12 823 53
169 258 52
667 694 97
812 145 90
648 286 20
937 846 10
263 228 32
891 401 100
578 968 87
236 964 44
701 976 20
105 498 30
409 165 24
757 329 69
847 977 7
218 914 53
28 529 33
611 772 34
110 350 3
196 939 19
492 640 95
611 98 45
692 507 10
115 264 91
35 463 68
242 682 34
646 710 15
279 321 87
312 784 90
666 332 29
984 824 21
631 787 19
775 479 26
437 594 43
427 630 6
747 872 40
332 518 50
447 797 24
333 462 60
922 480 92
802 465 17
323 448 4
941 223 84
419 12 78
161 440 60
718 539 84
958 871 55
259 318 4
234 4 66
993 278 47
85 81 64
1 404 12
56 697 87
239 116 100
369 277 92
480 348 31
464 658 54
318 917 73
321 504 29
139 497 59
437 934 92
200 935 96
763 344 46
901 935 62
700 656 92
643 137 40
125 953 50
479 271 67
503 944 71
531 435 21
541 872 55
633 424 43
480 187 87
25 89 74
39 141 31
330 785 68
321 262 21
970 741 44
888 244 40
311 127 76
231 669 48
437 302 73
579 134 12
417 160 1
191 199 95
621 881 32
540 202 94
60 524 88
555 764 84
994 75 12
869 658 33
617 448 87
141 27 21
852 797 33
5 988 84
651 961 65
82 501 19
127 913 43
914 468 60
298 462 35
161 332 46
693 301 94
231 794 73
903 646 70
736 3 10
119 6 71
384 88 24
554 568 37
249 482 5
708 132 20
594 293 52
491 338 5
484 921 99
209 825 97
378 913 53
240 32 59
62 768 48
386 323 16
974 572 50
31 632 83
550 226 28
753 718 19
609 554 40
907 763 65
203 494 78
207 734 63
866 148 83
965 886 6
632 861 30
781 892 14
415 794 41
343 899 11
313 508 65
852 767 81
569 322 75
846 530 61
860 396 61
643 361 48
100 993 9
482 126 53
495 894 99
87 589 50
397 902 10
614 754 77
594 323 99
420 522 81
332 382 77
392 377 90
691 478 35
851 960 14
255 455 8
453 543 97
254 292 51
563 906 5
639 852 81
390 272 3
670 956 37
699 701 15
440 392 93
175 244 53
740 499 60
847 305 55
895 559 48
845 475 54
901 114 59
281 856 83
535 879 40
172 578 41
186 18 85
30 545 81
834 285 33
445 484 90
600 731 1
47 576 76
752 478 43
662 111 99
845 647 78
984 819 8
176 357 79
112 387 76
293 573 14
325 18 98
366 618 30
966 17 58
42 122 36
584 784 100
982 629 47
612 965 66
819 141 75
749 254 14
225 899 87
338 576 57
935 942 76
616 908 45
874 950 67
961 534 52
160 869 33
358 481 99
375 652 92
749 402 46
862 627 97
900 965 73
957 252 15
984 221 76
28 95 78
547 408 13
850 921 34
782 279 67
680 655 19
72 756 73
69 619 100
966 871 17
790 180 22
557 164 43
232 193 90
209 740 98
73 942 71
158 724 51
724 757 58
943 181 14
267 250 85
867 568 57
135 711 37
656 268 54
398 852 99
939 61 91
537 487 33
407 645 57
909 722 14
66 17 95
332 284 98
216 503 18
324 639 29
613 647 97
66 398 1
64 337 15
154 874 2
186 634 99
294 895 21
808 314 38
854 646 75
503 862 78
721 187 17
1 800 65
550 218 63
950 282 52
764 788 27
417 974 13
716 268 60
88 428 74
478 635 72
152 490 35
329 211 74
498 565 26
314 115 96
528 65 78
79 182 66
857 599 92
269 315 12
281 404 41
254 882 28
226 386 18
412 715 82
137 213 99
14 527 14
109 55 31
838 135 13
3 992 13
846 614 80
957 247 84
849 501 18
376 79 4
746 843 72
679 332 85
177 698 65
790 807 72
172 645 59
385 0 52
197 846 18
676 156 65
912 5 18
381 734 50
237 832 45
808 511 30
592 688 28
608 830 36
680 354 33
238 739 34
141 288 32
10 317 88
126 229 46
96 962 80
145 199 12
741 7 75
670 952 15
298 560 97
85 592 51
517 831 91
302 324 31
286 335 48
425 461 29
570 557 92
801 54 43
864 148 3
438 818 55
404 468 67
200 553 12
351 423 43
593 77 19
123 715 6
323 141 68
751 63 77
494 865 84
789 81 84
91 872 2
345 276 23
863 829 28
974 532 3
268 125 81
887 600 96
544 923 89
663 27 53
692 873 70
775 662 51
358 753 23
111 450 52
685 666 81
813 992 13
715 261 90
47 500 90
95 44 66
283 708 45
535 400 70
356 527 33
259 237 38
33 700 41
84 738 59
316 551 51
80 618 64
969 18 64
811 113 61
928 396 21
424 284 73
793 992 52
177 251 89
315 285 41
607 721 79
565 38 82
867 118 53
431 88 71
494 251 84
306 179 32
826 603 68
450 748 61
601 926 64
989 593 49
782 200 71
960 117 9
394 984 79
446 415 19
516 262 70
51 568 1
334 747 4
902 197 53
814 799 31
977 140 24
778 274 76
948 587 93
508 981 29
538 427 45
657 295 59
378 698 79
279 32 26
134 934 76
738 100 27
268 430 67
391 208 94
66 508 81
210 368 62
339 906 41
235 563 88
745 942 86
823 573 18
1 707 5
376 446 5
902 714 87
920 458 95
213 876 3
93 87 71
306 778 30
946 365 45
585 110 39
570 285 12
588 286 20
244 14 66
0 916 32
187 189 90
581 754 67
836 200 6
458 506 84
987 805 1
432 390 11
170 313 48
834 253 35
853 497 49
670 497 18
201 36 59
543 970 13
409 806 65
714 616 72
149 604 29
949 388 71
211 910 84
758 744 37
944 949 34
145 619 84
262 173 72
272 716 42
36 125 100
1 191 17
472 340 73
452 641 13
822 852 23
506 962 20
794 907 69
580 52 41
863 666 14
886 938 30
528 326 7
949 743 52
289 467 4
282 579 79
134 954 37
448 73 31
355 493 11
759 533 26
425 98 13
715 27 93
42 785 20
721 734 16
873 375 83
828 657 15
606 143 69
242 592 94
25 947 87
387 707 73
965 484 71
77 552 99
421 594 36
740 315 71
507 540 46
742 369 56
556 327 99
676 570 91
869 947 91
555 334 50
127 299 34
150 728 38
200 501 32
35 242 100
605 101 92
903 843 61
858 751 89
308 427 11
999 296 58
341 204 44
390 683 96
275 833 76
713 33 78
96 69 72
147 26 73
739 929 69
699 139 20
339 448 48
549 799 96
58 140 52
254 882 36
749 509 21
676 574 55
753 23 76
776 170 54
549 909 36
869 961 75
588 652 75
87 554 74
235 964 66
586 218 100
973 319 10
194 996 36
800 101 59
827 230 30
880 131 91
215 0 4
42 588 57
316 28 11
742 263 27
659 201 46
459 175 65
768 721 13
355 521 67
614 700 97
43 580 28
85 148 28
89 542 68
745 858 96
307 952 11
833 612 13
930 71 88
347 191 9
759 546 82
977 160 82
425 555 14
652 641 62
231 730 4
751 827 15
298 486 19
109 671 31
121 602 54
660 301 97
920 412 44
53 390 56
886 815 64
299 820 5
213 51 87
668 154 66
982 453 52
953 562 75
183 35 29
189 47 30
385 319 43
128 372 85
736 258 100
899 909 72
55 122 76
293 791 30
358 125 83
261 78 45
187 262 32
716 803 79
897 188 98
139 669 22
123 405 32
275 656 42
246 63 64
621 356 55
151 66 33
485 679 11
30 866 25
313 582 28
292 480 17
941 971 86
315 447 43
946 722 99
487 320 14
503 294 70
309 797 88
241 282 67
252 664 85
228 978 20
656 622 52
272 915 23
909 230 22
951 529 96
1 16 17
114 871 63
935 181 60
174 422 94
740 26 59
876 255 89
595 911 11
146 535 78
669 444 9
990 747 38
386 748 6
454 214 78
816 501 59
327 675 33
120 767 60
930 643 15
718 239 78
480 385 13
158 406 57
66 749 56
855 487 4
12 941 70
41 109 71
899 788 98
884 908 65
543 839 60
809 909 99
986 390 37
698 548 95
206 966 44
461 821 31
816 185 24
385 227 85
807 478 73
256 362 82
472 905 73
331 66 82
782 52 72
618 750 72
212 956 38
908 769 11
738 585 97
214 322 24
798 481 2
171 737 65
804 209 22
628 893 89
361 675 93
485 645 44
156 209 52
794 117 22
604 208 59
952 422 34
175 220 67
229 743 57
645 547 66
318 175 59
58 889 86
851 374 31
394 530 41
597 676 58
570 633 66
481 585 40
714 113 61
132 694 4
288 339 4
654 9 31
264 68 20
902 919 94
832 665 77
324 614 5
934 185 38
751 666 76
991 732 41
451 864 35
6 153 26
461 159 35
92 775 3
963 677 74
209 862 39
985 186 6
141 120 91
579 872 9
306 215 41
146 18 5
680 24 10
257 838 21
491 930 97
146 893 74
719 102 36
310 439 75
515 581 47
905 512 71
313 170 86
805 316 4
161 348 81
671 605 19
691 96 1
839 242 46
313 314 1
0 624 40
226 491 73
573 748 37
495 413 7
281 218 23
436 379 23
968 402 28
338 446 77
638 285 71
184 950 37
184 303 13
975 881 4
348 454 52
936 302 65
343 583 35
65 371 67
840 340 69
867 678 67
695 669 5
118 205 55
854 741 10
567 716 92
122 416 98
74 353 100
790 696 35
725 113 7
391 953 99
811 173 29
678 220 98
534 338 55
988 545 96
450 464 65
793 586 81
590 660 86
42 803 34
76 528 100
834 271 53
932 82 78
413 112 51
562 646 41
917 987 86
364 789 2
528 582 89
109 172 1
746 214 4
80 643 84
879 477 55
983 762 90
613 527 54
463 89 1
355 358 40
793 723 29
694 251 63
182 712 35
683 459 2
338 891 97
522 122 26
976 105 88
217 70 15
571 885 57
571 241 15
262 34 90
742 728 42
804 263 6
390 298 17
191 636 8
339 158 30
965 487 88
457 971 76
695 327 99
936 393 13
970 183 55
50 576 59
313 681 2
963 598 45
600 757 85
110 687 50
597 426 54
302 235 25
929 930 4
128 218 98
940 188 33
847 591 9
557 256 90
658 220 40
303 172 98
287 282 37
236 232 63
241 886 50
218 815 33
521 295 51
570 588 92
802 435 83
610 992 91
452 651 63
891 306 35
88 593 70
324 181 2
338 422 88
940 992 55
472 514 3
222 84 91
513 239 78
747 201 70
238 653 73
652 897 79
887 985 24
108 662 5
561 352 80
900 292 72
54 764 86
856 339 23
598 204 14
775 952 15
297 542 69
821 194 18
300 433 3
75 541 17
680 102 70
59 2 14
430 409 31
668 617 70
342 216 74
255 991 78
721 640 72
841 462 67
858 762 52
213 837 46
229 869 100
950 280 55
316 63 64
446 731 81
267 425 49
292 32 93
270 105 33
141 947 95
559 805 9
411 370 99
508 600 68
707 902 49
261 218 12
224 16 95
157 635 72
657 928 56
149 550 61
282 43 8
876 603 66
937 366 36
835 874 88
954 933 43
2 195 13
465 771 30
11 280 65
334 938 45
689 439 95
502 721 91
261 950 46
826 887 12
114 74 38
353 28 23
495 383 18
208 200 42
289 564 22
5 898 12
650 940 52
196 442 25
786 703 75
331 882 14
594 348 40
83 701 69
506 549 4
475 757 4
568 398 68
942 403 19
253 405 59
356 954 53
181 740 8
307 424 90
673 370 38
112 806 92
932 664 41
135 139 50
539 60 48
858 2 3
428 607 9
938 964 63
890 497 55
250 804 31
139 829 2
729 294 8
372 226 72
212 362 63
513 253 23
860 463 25
314 892 85
174 830 49
988 73 46
895 323 2
225 814 84
278 895 78
785 267 4
308 831 18
323 344 23
45 556 87
122 871 31
806 397 61
806 386 86
303 281 9
604 858 24
87 137 19
864 274 39
220 583 70
937 906 15
612 303 71
398 777 94
428 935 92
640 741 78
926 396 11
886 1 69
661 440 6
332 657 81
270 877 16
39 166 74
505 778 29
176 528 59
421 308 94
712 301 88
741 227 84
51 465 37
220 127 78
877 459 87
