500 1500
68 411 96
75 190 56
236 221 82
337 360 79
326 125 100
60 420 11
180 52 31
313 184 96
182 428 9
495 248 11
184 316 74
231 391 16
87 479 90
220 316 50
299 143 75
198 55 96
8 236 100
490 401 36
86 83 64
246 430 12
156 467 80
181 198 23
396 285 3
185 6 71
335 157 14
461 355 70
156 216 58
108 206 59
243 144 42
159 390 25
322 398 92
302 79 90
24 328 28
78 13 86
449 200 43
462 162 98
383 170 14
40 278 73
450 22 17
92 33 60
16 355 58
259 9 90
200 34 18
427 112 83
12 61 84
254 376 46
352 111 16
17 4 47
389 454 21
258 398 54
17 266 9
26 25 71
115 226 5
384 5 69
167 18 83
150 124 11
147 476 22
462 346 78
260 87 33
80 345 83
433 214 2
494 241 27
64 208 5
20 93 11
440 260 81
422 262 5
484 409 34
158 223 80
335 484 67
319 64 65
54 350 79
55 344 20
433 260 29
38 132 74
0 72 34
480 347 48
84 331 57
17 341 32
296 29 68
15 348 33
79 254 35
357 309 31
229 243 91
309 133 75
482 133 47
267 113 46
166 197 30
122 67 71
5 363 100
373 230 1
157 309 55
291 19 17
121 100 60
63 409 93
137 243 26
135 362 91
481 28 40
10 2 7
232 7 23
484 232 53
84 389 15
290 32 34
306 5 34
417 420 95
309 409 90
186 45 52
28 378 32
68 240 34
174 472 93
496 308 26
401 392 67
115 183 52
200 341 57
385 259 78
479 68 39
20 107 84
71 135 14
2 203 54
287 230 79
431 78 87
308 479 32
75 94 67
78 146 8
234 31 67
163 10 88
2 382 47
237 453 82
203 307 38
408 446 20
438 378 98
277 186 30
8 113 24
126 191 23
233 278 54
100 293 17
239 147 99
485 237 53
218 440 12
7 348 11
26 287 89
124 64 27
53 424 93
428 50 36
450 135 14
356 87 60
272 326 59
70 311 96
174 382 36
438 389 37
148 416 76
236 392 92
214 297 16
306 77 18
442 28 53
207 384 41
266 8 67
177 78 31
472 253 13
60 43 54
496 191 70
71 427 62
414 141 11
329 448 89
146 242 69
450 449 5
490 68 13
209 245 91
239 69 96
3 129 39
156 477 30
78 400 9
391 314 3
2 143 3
190 141 45
258 444 46
414 434 14
226 143 11
468 234 81
316 89 10
206 98 40
288 28 40
296 419 55
150 273 50
452 315 44
496 425 88
342 339 74
107 65 70
118 34 56
50 350 46
111 56 96
150 344 24
442 493 95
196 143 69
297 96 84
392 444 10
431 138 1
405 98 67
374 216 53
281 266 55
426 229 63
373 380 8
348 322 53
243 370 96
263 19 44
246 264 41
7 195 79
108 100 77
126 326 45
178 108 63
432 386 93
94 112 25
453 460 99
157 203 21
5 466 40
300 65 4
40 424 52
271 384 52
99 10 31
496 40 91
158 324 29
402 271 41
378 76 2
176 234 57
196 239 76
88 39 41
243 432 17
94 55 2
398 154 64
28 150 57
470 161 81
298 415 4
239 294 81
140 322 67
96 371 6
223 459 97
63 202 81
32 149 36
385 47 91
100 427 93
356 397 6
289 195 22
344 434 68
124 426 42
490 375 13
447 98 24
296 14 79
428 398 28
264 283 75
106 383 2
450 92 51
456 233 46
229 77 33
148 202 11
389 44 86
354 344 37
277 492 51
255 420 49
382 184 84
408 142 19
361 93 11
211 401 44
109 482 22
441 130 76
51 371 72
389 225 68
325 3 60
275 110 33
475 345 69
458 253 12
28 467 57
339 178 58
234 287 40
207 80 22
234 132 93
306 21 19
425 198 74
185 325 84
217 300 81
285 110 87
348 138 54
4 329 84
413 64 24
304 123 4
325 358 88
70 16 61
40 441 59
13 478 84
448 47 36
229 185 98
467 33 89
320 390 18
203 303 34
226 460 58
182 137 68
269 207 84
230 99 77
240 112 56
76 413 3
211 494 40
161 461 74
249 133 16
18 336 19
352 415 31
161 97 69
328 218 28
363 300 28
339 41 92
146 469 57
1 180 51
40 193 64
113 442 97
280 461 86
399 165 1
181 178 50
101 6 20
229 221 21
308 60 14
499 59 83
308 60 15
258 100 9
22 66 3
270 346 16
355 97 81
207 279 59
156 232 17
28 461 90
348 121 3
413 473 62
447 281 22
13 39 22
421 413 40
476 184 87
491 391 36
24 99 67
234 107 100
303 135 61
92 335 35
294 100 8
55 47 89
376 61 28
150 334 94
489 310 30
27 302 21
163 326 72
429 60 80
428 363 67
241 308 3
175 102 3
82 10 3
122 238 64
201 388 98
194 230 61
75 109 63
496 272 41
367 54 53
198 334 69
165 427 77
467 102 79
221 36 89
23 158 28
386 360 68
436 406 50
296 482 60
310 478 84
2 197 38
254 396 25
222 61 52
498 380 7
229 101 95
469 125 54
448 363 66
316 151 72
265 299 6
176 109 36
360 111 34
449 218 82
373 440 43
77 291 23
383 20 76
77 489 53
282 438 69
347 106 20
171 223 20
476 400 81
192 297 62
410 378 88
202 372 17
493 246 100
365 221 29
207 174 64
497 194 11
103 13 34
178 132 63
430 213 27
42 257 24
456 19 54
95 73 26
311 419 24
262 284 45
290 343 71
453 340 65
316 295 31
201 326 15
63 256 80
389 299 37
364 107 8
69 202 34
146 13 53
469 275 89
366 417 33
436 223 25
53 39 73
183 240 99
297 156 55
477 397 6
265 114 13
425 183 67
158 330 80
310 151 7
450 17 77
82 454 100
259 359 39
231 394 31
29 43 39
435 372 37
141 490 3
305 415 38
172 73 68
403 235 20
410 185 37
38 120 43
37 379 54
427 462 100
409 343 44
48 278 16
436 419 6
438 225 73
475 397 46
195 152 33
66 62 71
454 452 91
149 489 22
54 416 36
354 178 79
197 226 57
264 14 77
322 304 54
294 131 3
192 178 55
324 244 70
346 51 22
136 52 64
9 106 80
196 460 10
374 9 88
331 274 2
59 96 58
364 242 90
66 434 68
272 111 65
41 457 68
115 446 20
178 455 26
9 4 39
19 378 48
106 61 74
60 472 22
317 188 65
206 254 99
126 379 62
142 272 20
209 387 66
328 65 73
405 75 77
295 446 8
195 52 21
368 112 94
342 430 82
206 488 89
356 114 20
118 256 92
189 317 80
354 145 45
326 403 72
155 198 70
362 245 23
482 114 87
427 308 69
61 366 58
301 222 24
420 192 33
311 381 50
90 87 48
287 266 3
410 421 53
480 135 99
454 117 65
40 397 73
261 458 39
118 259 13
293 179 58
77 490 91
327 433 79
426 72 45
428 482 18
332 314 53
130 268 22
246 161 19
170 422 29
460 392 88
325 185 19
382 263 62
24 442 95
254 220 67
398 0 1
167 332 16
71 315 36
93 61 97
363 84 19
92 44 11
79 369 49
450 103 64
311 128 58
105 382 78
323 133 78
375 300 10
242 372 25
378 317 39
174 180 23
245 124 67
207 56 89
355 6 92
118 317 20
175 274 3
304 97 88
81 324 88
43 67 12
319 297 81
157 323 14
431 68 38
250 276 94
438 483 100
81 454 17
1 481 91
155 286 40
442 367 17
381 410 36
45 230 33
25 239 56
38 171 25
176 273 53
221 211 36
421 292 90
289 145 72
432 152 58
171 446 77
439 328 40
274 225 70
406 250 61
362 141 84
238 317 57
390 38 20
25 311 13
467 101 10
38 33 63
395 56 9
323 496 89
162 270 14
231 29 17
244 243 58
427 481 27
384 223 17
403 100 29
381 229 58
414 43 53
322 303 77
318 392 91
441 57 23
470 473 19
65 30 46
46 108 82
121 225 38
73 5 57
141 386 38
98 300 81
303 122 85
331 293 29
21 234 38
295 56 12
313 121 94
111 19 3
144 492 80
81 65 85
290 206 71
227 157 23
208 312 45
344 143 90
224 16 24
161 164 32
72 477 5
218 440 76
472 85 68
451 18 34
287 308 92
157 36 1
179 96 13
175 440 8
465 164 77
340 325 41
272 250 70
176 468 11
304 292 48
71 243 66
256 30 27
148 39 63
48 218 11
113 245 51
172 210 67
248 51 44
488 175 46
58 203 14
420 7 58
367 79 53
184 187 83
310 335 74
324 236 44
434 201 90
336 373 52
402 122 3
498 462 30
343 20 86
9 292 93
466 159 24
19 196 12
453 6 99
427 331 87
322 265 88
111 102 14
463 356 36
217 206 98
499 50 71
484 59 63
328 377 75
104 396 71
215 202 29
365 481 60
252 303 78
191 267 32
4 230 40
291 299 47
189 298 97
311 282 8
225 111 85
151 215 34
273 282 88
402 499 69
361 251 24
290 443 91
321 299 21
413 91 21
359 132 19
355 443 54
114 20 17
250 172 84
283 297 66
370 199 65
290 413 69
14 203 64
4 377 63
77 290 54
449 149 86
119 356 81
72 322 54
488 72 78
471 356 75
88 78 75
205 369 88
73 235 43
236 239 20
50 168 62
104 117 63
141 237 71
474 309 93
327 150 66
204 473 74
230 62 4
104 267 25
243 192 60
86 280 52
157 330 20
371 286 38
233 428 75
156 254 36
400 81 86
365 137 60
390 367 74
346 324 93
170 419 37
230 5 17
381 15 47
52 238 34
489 323 14
163 479 68
499 380 1
336 97 90
147 340 9
372 186 33
364 356 53
252 438 10
68 319 77
215 224 15
0 213 39
65 229 18
32 228 50
284 416 48
173 64 88
133 436 74
418 153 82
122 405 21
331 474 92
260 41 16
426 393 30
64 458 59
34 490 39
235 126 7
182 299 71
321 432 8
146 202 13
328 324 18
448 8 44
91 268 85
107 194 30
188 111 88
498 497 30
388 232 56
194 267 7
65 88 92
224 235 94
36 415 19
105 215 27
149 306 47
85 413 41
415 453 4
202 451 1
332 191 34
439 386 1
346 303 41
37 379 76
430 415 43
0 372 58
226 21 65
424 107 30
317 374 84
320 76 87
321 260 79
406 200 17
258 46 20
50 435 99
226 217 66
20 218 38
178 296 12
142 221 71
223 38 45
406 210 73
245 383 86
275 141 86
191 399 84
262 450 71
212 28 88
429 48 58
18 78 55
129 220 28
51 444 18
347 202 28
220 299 12
205 74 5
242 265 5
325 379 7
47 91 87
134 372 87
292 391 66
98 372 38
477 424 34
394 271 37
373 343 36
236 48 63
241 290 80
497 467 60
55 14 3
141 1 76
479 145 19
396 243 91
34 72 67
467 318 39
455 191 82
243 280 83
457 373 25
436 370 45
295 425 59
450 418 12
477 249 57
395 146 52
185 32 24
252 499 42
442 307 86
475 402 66
57 359 39
134 147 61
178 443 38
236 245 8
0 222 57
56 117 3
208 154 87
283 258 39
325 200 46
262 176 100
479 85 11
217 219 58
29 397 53
266 486 98
273 486 20
381 394 89
136 454 44
422 238 2
60 415 55
357 177 83
408 156 68
318 225 40
228 106 89
80 372 27
178 497 65
349 230 60
138 366 14
81 141 4
134 201 19
388 59 48
170 319 56
390 138 33
181 366 39
369 446 63
396 476 12
260 326 43
371 316 9
85 397 50
240 31 4
311 272 15
410 442 34
166 184 72
350 365 90
141 235 89
303 483 65
315 95 43
57 467 59
17 404 8
119 144 92
422 455 64
136 218 58
169 236 43
193 86 60
434 79 95
122 383 30
287 50 26
481 459 45
140 328 49
47 447 45
190 221 53
253 357 71
463 379 7
5 424 45
264 358 25
111 481 60
292 120 62
217 101 73
313 93 1
461 493 1
458 183 22
410 289 32
432 252 63
338 109 87
34 373 97
458 336 30
117 129 2
30 198 56
402 12 49
103 325 94
103 283 78
176 45 19
107 477 71
269 167 80
207 202 5
356 160 94
485 130 75
439 160 73
494 63 37
142 166 63
488 121 98
17 297 44
335 257 21
257 378 89
288 438 91
44 294 3
137 131 33
211 70 46
336 64 9
472 59 27
434 47 100
384 64 97
27 251 6
147 8 85
287 296 23
129 340 69
132 478 52
116 41 75
261 377 91
469 202 50
47 488 49
246 372 65
95 399 16
200 399 76
36 186 72
310 168 65
378 300 95
282 416 36
256 178 66
146 499 68
448 47 56
148 293 29
413 388 80
280 441 79
156 477 18
327 288 86
191 18 38
237 300 54
473 408 84
438 407 36
457 355 83
464 3 76
492 268 17
272 401 58
302 57 35
19 236 23
256 280 94
293 17 94
99 490 55
82 280 62
417 89 17
151 54 72
179 398 93
95 170 94
304 325 51
138 344 39
113 101 19
106 394 37
251 493 79
305 428 12
118 197 1
434 349 7
458 380 6
250 475 28
295 279 53
45 269 98
383 234 51
354 340 97
342 444 43
320 101 23
283 220 20
336 6 21
442 316 1
299 418 28
327 213 59
179 110 29
228 346 63
230 200 56
127 42 52
221 214 5
243 498 25
314 334 84
87 128 52
387 428 71
367 255 84
125 286 47
153 367 93
268 97 45
223 76 39
326 297 53
30 392 3
455 207 37
90 294 18
41 33 46
411 400 53
347 378 91
393 383 58
137 151 8
81 226 36
419 52 86
323 83 78
226 390 85
314 332 31
31 373 65
28 137 17
280 336 95
23 81 79
280 218 82
339 151 9
475 70 13
260 245 96
437 323 38
174 138 70
204 21 96
120 402 33
437 34 69
483 57 50
413 190 20
495 29 71
155 4 93
219 116 38
367 406 62
404 80 52
126 136 25
221 257 27
305 46 62
373 29 71
374 295 61
445 142 91
315 297 47
107 368 16
496 235 22
209 492 54
412 118 90
137 339 47
263 144 45
276 369 75
347 95 70
459 40 12
249 355 61
248 314 81
363 162 17
384 372 9
337 136 79
426 273 70
125 389 14
221 17 35
495 216 82
416 176 22
479 425 29
191 173 95
272 388 57
440 272 81
100 461 18
378 240 43
347 217 32
312 438 2
498 286 18
279 202 94
452 34 20
480 77 45
26 349 34
234 289 58
167 389 20
384 119 12
78 318 29
162 482 67
263 480 53
80 111 8
74 63 94
345 395 71
289 421 21
474 156 62
284 175 4
55 411 23
66 489 94
294 151 76
312 414 57
117 495 68
124 421 32
369 266 79
339 407 1
159 382 9
473 18 84
176 73 47
350 491 36
343 285 88
319 449 54
127 66 1
46 42 22
29 411 88
408 251 96
60 262 30
220 87 48
55 115 73
301 466 64
36 161 1
275 332 50
429 311 69
429 358 63
203 387 75
390 147 78
485 207 92
166 427 32
13 482 47
137 283 65
400 172 79
300 447 11
2 228 75
270 10 33
432 213 72
358 103 20
387 441 27
31 107 55
262 473 89
108 110 25
125 11 49
303 163 48
76 339 88
438 371 73
151 143 83
106 62 23
399 40 54
7 446 16
332 335 76
442 211 1
305 259 56
321 106 22
338 34 61
126 472 85
50 475 28
332 82 42
354 481 82
259 340 29
74 172 16
202 467 27
454 124 38
10 445 96
83 136 31
143 262 55
427 164 31
206 348 13
47 203 46
429 462 87
109 389 11
124 443 30
